Time_Sick,Group,Time_Borderline,Time_Healthy
0,Control_TST,23.07692308,76.92307692
0,Control_TST,0,100
0,Control_TST,7.692307692,92.30769231
0,Control_TST,0,100
0,Control_TST,8.333333333,91.66666667
0,Control_TST,0,100
0,Control_TST,0,100
0,Control_TST,10,90
0,Control_TST,0,100
0,Control_TST,0,100
0,Control_TST,0,100
0,Control_TST,0,100
0,Control_TST,12.5,87.5
0,Control_TST,0,100
0,Control_TST,12.5,87.5
0,Control_TST,0,100
0,Control_TST,42.85714286,57.14285714
0,Control_TST,71.42857143,28.57142857
0,Control_TST,57.14285714,42.85714286
0,Control_TST,33.33333333,66.66666667
0,Control_TST,100,0
0,Control_TST,0,100
0,Control_TST,0,100
0,Control_TST,75,25
0,Control_TST,25,75
0,Control_TST,33.33333333,66.66666667
0,Control_TST,66.66666667,33.33333333
0,Control_TST,0,100
