Location,TST,Tag,Age,Sex,Nasal,Jaw,FAMACHA,Condition,Dag,tx,Weight,Lactation,Visit,Date,FEC,TFEC,month,Plant,farm,time,temp,hum,tx2,FECp,Intervention
CHINKHOWE,Plant,82,4,F,0,0,4,1.5,0,Drug,29.9,Lactating,1,05/02/2020,12800,12800,February,kakhobo,P19,0,24.28608333,76.60954167,drugpl,0,Post
CHINKHOWE,Plant,82,4,F,0,0,4,1.5,0,Drug,29.9,Lactating,3,04/03/2020,8450,8450,March,kakhobo,P19,28,21.00747024,85.50233333,drugpl,150,Post
CHINKHOWE,Plant,82,4,F,0,0,2,2,4,Drug,32.6,Lactating,21,12/11/2020,50,,November,kakhobo,P19,281,,,drugpl,0,Post
CHINKHOWE,Plant,91,4,F,0,0,2,3,4,Drug,28.6,Lactating,3,04/03/2020,,.,March,kakhobo,P21,28,21.00747024,85.50233333,drugpl,0,Post
CHINKHOWE,Plant,92,4.5,F,0,1,4,1.5,0,Drug,28.6,Lactating,1,05/02/2020,19600,19700,February,kakhobo,P21,0,24.28608333,76.60954167,drugpl,0,Post
CHINKHOWE,Plant,93,4.5,F,0,0,4,1,0,Drug,32.6,Lactating,2,19/02/2020,450,1050,February,kakhobo,P21,14,23.53566667,83.30116667,drugpl,0,Post
CHINKHOWE,Plant,93,4.5,F,0,0,2,1,1,Drug,31.3,Lactating,7,30/04/2020,,.,April,kakhobo,P21,85,,,drugpl,0,Post
KAMCHEZERA,Drug,106,1,F,1,0,2,2,0,Drug,24.5,NotLactating,28,12/02/2021,3350,,February,,D3,378,,,drugdr,400,Post
KAMCHEZERA,Drug,107,1,F,1,0,4,1.5,0,Drug,23.1,NotLactating,20,23/10/2020,550,,October,,D3,266,25.08342361,43.92047222,drugdr,0,Post
KAMCHEZERA,Drug,108,3,F,0,0,4,1.5,0,Drug,24.5,NotLactating,1,31/01/2020,2700,2900,January,,D3,0,25.10085714,69.71221429,drugdr,400,Post
KAMCHEZERA,Drug,108,3,F,0,0,4,1.5,0,Drug,23.1,NotLactating,2,14/02/2020,400,450,February,,D3,14,21.08183333,93.22854167,drugdr,0,Post
KAMCHEZERA,Drug,108,3,F,0,0,4,1.5,0,Drug,23.1,NotLactating,3,28/02/2020,,.,February,,D3,28,24.89010119,76.26380952,drugdr,0,Post
KAMCHEZERA,Drug,108,3,F,0,0,4,1.5,0,Drug,23.1,NotLactating,5,27/03/2020,,.,March,,D3,56,25.06941667,76.33333333,drugdr,0,Post
KAMCHEZERA,Drug,115,3,F,0,0,3,1,0,Drug,24.5,Lactating,5,27/03/2020,1200,1200,March,,D7,56,25.06941667,76.33333333,drugdr,0,Post
KAMCHEZERA,Drug,138,1,F,0,0,2,1,0,Drug,25.9,Lactating,4,27/03/2020,4900,2250,March,,D7,42,25.06941667,76.33333333,drugdr,150,Post
