Location,TST,Tag,Age,Sex,Nasal,Jaw,FAMACHA,Condition,Dag,tx,Weight,Lactation,Visit,Date,FEC,TFEC,month,Plant,farm,time,temp,hum,tx2,FECp,Intervention
KAMCHEZERA,Drug,98481,3,F,0,0,2,1.5,4,Drug,35.4,NotLactating,4,27/03/2020,,.,March,,D7,42,25.06941667,76.33333333,drugdr,0,Post
MKWINDA,Drug,99081,3,F,0,0,3,1,1,Drug,25.1,NotLactating,3,03/03/2020,12950,12950,March,,D11,28,23.5311369,72.02754762,drugdr,0,Post
MKWINDA,Drug,99083,4,F,0,0,3,1,0,Drug,31.3,Lactating,4,17/03/2020,850,850,March,,D14,42,23.77336905,73.37760714,drugdr,0,Post
MKWINDA,Drug,99083,4,F,1,0,3,1,0,Drug,36.7,Lactating,5,31/03/2020,0,0,March,,D14,56,23.27125,64.34808333,drugdr,150,Post
MKWINDA,Drug,99083,4,F,1,0,2,1,0,Drug,38.1,Pregnant,22,25/11/2020,,,November,,D14,295,,,drugdr,250,Post
MKWINDA,Drug,99083,4,F,1,0,3,1,3,Drug,35.4,NotLactating,24,23/12/2020,,,December,,D14,323,,,drugdr,0,Post
MKWINDA,Drug,99083,4,F,0,0,3,1,0,Drug,32.6,NotLactating,26,20/01/2021,,,January,,D14,351,,,drugdr,0,Post
MKWINDA,Drug,141m,4,F,1,0,4,1,4,Drug,29.9,NotLactating,2,17/03/2020,2100,2150,March,,D17,14,23.77336905,73.37760714,drugdr,0,Post
MKWINDA,Drug,141m,4,F,1,0,3,1,0,Drug,29.9,NotLactating,3,31/03/2020,0,0,March,,D17,28,23.27125,64.34808333,drugdr,650,Post
MKWINDA,Drug,141m,4,F,1,0,3,1,0,Drug,28.6,NotLactating,4,15/04/2020,650,700,April,,D17,43,25.756625,63.88775,drugdr,2050,Post
MKWINDA,Drug,141m,4,F,1,0,4,1,0,Drug,31.3,NotLactating,5,29/04/2020,2050,2050,April,,D17,57,,,drugdr,400,Post
MKWINDA,Drug,17TD6,4,F,1,0,3,2,0,Drug,34.2,Lactating,18,30/09/2020,100,,September,,D12,239,,,drugdr,0,Post
MKWINDA,Drug,24TD1,3,F,1,0,2,2.5,0,Drug,32.6,Pregnant,25,06/01/2021,550,,January,,D11,337,,,drugdr,50,Post
MKWINDA,Drug,24TD1,3,F,1,0,2,2.5,0,Drug,35.4,Pregnant,26,20/01/2021,50,,January,,D11,351,,,drugdr,0,Post
