Location,TST,Tag,Age,Sex,Nasal,Jaw,FAMACHA,BCS,Dag,Status1,Weight,Lactation,Visit,Date,FEC,TFEC,month,plant,farm,tx2,month2,Time,Status,plantx,plantreal,season,plantx2,plantx3
KAMCHEZERA,Drug,26529,3,F,0,0,3,2,0,Healthy,28.6,Lactating,29,26/02/2021,4500,,February,,D4,nonedr,2,392,1,1,0,Rainy,1,0
KAMCHEZERA,Drug,26549,3,F,0,0,4,2.5,0,Sick,36.7,Lactating,1,26/02/2021,150,,February,,D3,nonedr,2,1,2,0,0,Rainy,0,0
KAMCHEZERA,Drug,26552,1,F,0,0,2,2,0,Healthy,24.5,NotLactating,26,29/01/2021,,,January,,D6,,1,350,1,6,0,Rainy,4+,0
KAMCHEZERA,Drug,26553,1,F,0,0,4,1,0,Sick,23.1,Lactating,1,11/09/2020,,,September,,D6,,9,1,2,0,0,Dry,0,0
KAMCHEZERA,Drug,26558,2.5,F,0,0,2,2.5,0,Healthy,28.6,NotLactating,13,26/02/2021,450,,February,,D26,nonedr,2,168,1,1,0,Rainy,1,0
KAMCHEZERA,Drug,26559,2,F,0,0,2,1,0,Sick,24.5,Lactating,9,26/02/2021,5950,,February,,D26,nonedr,2,112,2,1,0,Rainy,1,0
KAMCHEZERA,Drug,26560,2,F,0,0,2,2,0,Healthy,27.2,NotLactating,9,29/01/2021,,,January,,D26,,1,112,1,0,0,Rainy,0,0
KAMCHEZERA,Drug,26607,2,F,0,0,2,2.5,0,Healthy,28.6,NotLactating,9,26/02/2021,1650,,February,,D1,nonedr,2,112,1,0,0,Rainy,0,0
KAMCHEZERA,Drug,26608,1,F,0,0,2,2,0,Healthy,27.2,NotLactating,9,26/02/2021,3000,,February,,D1,nonedr,2,112,1,0,0,Rainy,0,0
KAMCHEZERA,Drug,26624,3,F,0,0,2,1.5,0,Healthy,28.6,NotLactating,9,26/02/2021,4350,,February,,D27,nonedr,2,112,1,0,0,Rainy,0,0
KAMCHEZERA,Drug,26625,1.5,F,0,0,2,2,0,Healthy,24.5,NotLactating,9,26/02/2021,250,,February,,D27,nonedr,2,112,1,1,0,Rainy,1,0
KAMCHEZERA,Drug,26626,2.5,F,1,0,2,1,0,Sick,27.2,Lactating,1,09/10/2020,,.,October,,D25,,10,1,2,0,0,Dry,0,0
KAMCHEZERA,Drug,26627,4,F,1,0,2,2,0,Healthy,23.1,Lactating,3,09/10/2020,,.,October,,D25,,9,28,1,0,0,Dry,0,0
KAMCHEZERA,Drug,26628,4.5,F,0,0,4,1.5,0,Sick,25.9,Lactating,10,26/02/2021,1000,,February,,D25,drugdr,2,126,2,3,0,Rainy,3,0
KAMCHEZERA,Drug,26629,4.5,F,1,0,2,1,4,Sick,27.2,NotLactating,1,09/10/2020,,.,October,,D25,,10,1,2,0,0,Dry,0,0
KAMCHEZERA,Drug,26630,4.5,F,0,0,4,1,0,Sick,27.2,Pregnant,8,26/02/2021,,,February,,D25,nonedr,2,98,2,4,0,Rainy,4+,0
KAMCHEZERA,Drug,26631,3,F,0,0,2,1,0,Sick,20.4,NotLactating,2,25/09/2020,,.,September,,D25,,9,14,2,1,0,Dry,1,0
KAMCHEZERA,Drug,26632,3.5,F,1,0,4,2,0,Sick,25.9,Lactating,2,26/02/2021,1800,,February,,D25,drugdr,2,14,2,1,0,Rainy,1,0
KAMCHEZERA,Drug,26633,4.5,F,0,0,4,1.5,0,Sick,29.9,Lactating,8,26/02/2021,650,,February,,D25,nonedr,2,98,2,4,0,Rainy,4+,0
KAMCHEZERA,Drug,26634,4.5,M,1,0,3,1.5,0,Sick,42.2,,7,01/01/2021,,,January,,D25,,1,84,2,1,0,Rainy,1,0
KAMCHEZERA,Drug,26640,2,F,0,0,2,1.5,0,Borderline,20.4,Lactating,4,11/09/2020,,.,September,,D9,,8,42,1,2,0,Dry,2,0
KAMCHEZERA,Drug,26643,3,F,0,0,3,1,0,Sick,27.2,Pregnant,7,26/02/2021,450,,February,,D25,nonedr,2,84,2,2,0,Rainy,2,0
KAMCHEZERA,Drug,26655,4,F,0,0,2,2,0,Healthy,29.9,Lactating,2,18/12/2020,,,December,,D1,,12,14,1,0,0,Rainy,0,0
MKWINDA,Drug,26909,1,F,0,0,2,2,0,Healthy,25.9,Lactating,15,03/03/2021,1000,,March,,D12,nonedr,3,196,1,0,0,Rainy,0,0
MKWINDA,Drug,26910,4,F,0,0,2,2,0,Healthy,35.4,Lactating,18,14/10/2020,,,October,,D12,,9,239,1,4,0,Dry,4+,0
