Location,TST,Tag,Status,Visit
KAMCHEZERA,Drug,141,Healthy,12
MKWINDA,Drug,142,Healthy,12
MKWINDA,Drug,143,Healthy,12
MKWINDA,Drug,150,Sold,12
MKWINDA,Drug,151,End,12
MKWINDA,Drug,152,Healthy,12
MKWINDA,Drug,153,Healthy,12
MKWINDA,Drug,156,End,12
MAZINGA,Plant,200,Healthy,12
MAZINGA,Plant,201,Healthy,12
MAZINGA,Plant,205,Healthy,12
MAZINGA,Plant,206,Sold,12
MAZINGA,Plant,207,Stolen,12
MAZINGA,Plant,210,Healthy,12
MAZINGA,Plant,211,Healthy,12
MAZINGA,Plant,212,Healthy,12
MAZINGA,Plant,213,Borderline,12
MAZINGA,Plant,214,End,12
MAZINGA,Plant,215,End,12
MAZINGA,Plant,217,End,12
MAZINGA,Plant,218,Died,12
MAZINGA,Plant,219,End,12
CHINKHOWE,Plant,300,Healthy,12
CHINKHOWE,Plant,301,Healthy,12
CHINKHOWE,Plant,302,Healthy,12
CHINKHOWE,Plant,303,End,12
CHINKHOWE,Plant,305,End,12
CHINKHOWE,Plant,306,Healthy,12
CHINKHOWE,Plant,602,Died,12
MKWINDA,Drug,10757,Healthy,12
KAMCHEZERA,Drug,26058,Healthy,12
KAMCHEZERA,Drug,26059,Healthy,12
KAMCHEZERA,Drug,26060,End,12
KAMCHEZERA,Drug,26065,Healthy,12
KAMCHEZERA,Drug,26075,Healthy,12
KAMCHEZERA,Drug,26077,Stolen,12
KAMCHEZERA,Drug,26085,End,12
MKWINDA,Drug,26383,Healthy,12
MKWINDA,Drug,26437,Grazing,12
KAMCHEZERA,Drug,26529,Healthy,12
KAMCHEZERA,Drug,26549,Healthy,12
KAMCHEZERA,Drug,26552,Healthy,12
KAMCHEZERA,Drug,26553,Healthy,12
KAMCHEZERA,Drug,26558,Healthy,12
KAMCHEZERA,Drug,26559,Healthy,12
KAMCHEZERA,Drug,26560,End,12
KAMCHEZERA,Drug,26607,End,12
KAMCHEZERA,Drug,26608,End,12
KAMCHEZERA,Drug,26624,End,12
KAMCHEZERA,Drug,26625,End,12
KAMCHEZERA,Drug,26626,End,12
KAMCHEZERA,Drug,26627,End,12
KAMCHEZERA,Drug,26628,Healthy,12
KAMCHEZERA,Drug,26629,End,12
KAMCHEZERA,Drug,26630,Sick,12
KAMCHEZERA,Drug,26631,End,12
